站號,站名,經度,緯度,城市,地址
C0R140,瑪家,120.686639,22.682903,屏東縣,瑪家鄉瑪家村4鄰24號(後山)
C0R150,三地門,120.639944,22.709889,屏東縣,內埔鄉水門村成功路83號(國立內埔高級農工職業學校內)
C0R160,鹽埔,120.530778,22.739558,屏東縣,屏東縣鹽埔鄉七份路21號(彭厝國小)
C0R170,屏東,120.494072,22.660269,屏東縣,屏東市復興路245號(台灣糖業公司屏東區處場區內)
C0R190,赤山,120.614306,22.592333,屏東縣,萬巒鄉建興路40號（赤山國小）
C0R220,潮州,120.54,22.534361,屏東縣,潮州鎮光春路290號(屏東縣立光春國民中學內)
C0R240,來義,120.625111,22.527306,屏東縣,萬巒鄉新隆路64號萬巒農場（佳佐段180號）
C0R260,春日,120.628306,22.370361,屏東縣,春日鄉鄉公所資源回收場旁
C0R270,琉球嶼,120.362236,22.332244,屏東縣,琉球鄉天台段596及597地號
C0R280,檳榔,120.836777,22.076078,屏東縣,滿州鄉長樂村大公路14號(往南仁山方向)
C0R320,車城,120.716073,22.074033,屏東縣,車城鄉福興村中山路66號(車城國小)
C0R341,牡丹,120.792639,22.130036,屏東縣,199縣道23K-23.5K間車城往旭海方向之右側
C0R350,貓鼻頭,120.7358,21.921774,屏東縣,恆春鎮(貓鼻頭風景區內)
C0R440,大漢山,120.753181,22.405264,屏東縣,春日鄉大漢山頂
C0R470,高樹,120.600806,22.826389,屏東縣,高樹鄉興中路330號(高樹圖書館)
C0R480,長治,120.542622,22.693128,屏東縣,長治鄉德成村中興路572-1號(長治消防分隊)
C0R490,九如,120.490503,22.7405,屏東縣,九如鄉九如路二段416號(九如鄉公所)
C0R510,萬丹,120.490394,22.587775,屏東縣,萬丹鄉萬安村和平東路69號(萬丹消防分隊)
C0R520,崁頂,120.506914,22.514781,屏東縣,崁頂鄉崁頂村興農路29-10號(崁頂消防分隊)
C0R530,林邊,120.509983,22.430836,屏東縣,林邊鄉光林村和平路45號(林邊鄉衛生所)
C0R540,佳冬,120.552375,22.419456,屏東縣,佳冬鄉佳昌路2號(佳冬鄉公所)
C0R550,新埤,120.582894,22.467947,屏東縣,新埤鄉民眾路103號(新埤消防分隊)
C0R560,新園,120.461558,22.5434,屏東縣,新園鄉仙吉村店口路116號(新園消防分隊)
C0R570,麟洛,120.52719,22.65078,屏東縣,麟洛鄉中山路158號(麟洛鄉公所)
C0R580,南州,120.50274,22.48591,屏東縣,南州鄉溪南村人和路241號(南州消防分隊)
C0R590,里港,120.49459,22.77919,屏東縣,里港鄉永春村中山路104號(里港鄉公所)
C0R600,舊泰武,120.664944,22.588194,屏東縣,泰武鄉泰武村良武巷101號(舊泰武村老人活動中心)
C0R620,墾雷,120.855269,21.900836,屏東縣,恆春鎮燈塔路51巷33號(氣象局墾丁雷達站區內)
C0R640,東港,120.44074,22.46247,屏東縣,東港鎮豐漁里豐漁街67號（水產試驗所東港生技研究中心）
C0R650,竹田,120.54344,22.58486,屏東縣,竹田鄉中正路123號(竹田鄉公所清潔隊)
C0R660,枋寮,120.590647,22.367722,屏東縣,枋寮鄉枋寮村德興路197號(枋寮國小)
C0R670,楓港,120.692156,22.190131,屏東縣,枋山鄉善餘村光復路24號(楓港國小)
C0R680,佳樂水,120.861633,21.993578,屏東縣,滿州鄉佳樂水風景區內
C0R690,墾丁,120.810269,21.966756,屏東縣,恆春鎮墾丁森林遊樂區林業試驗所觀測坪
C0R700,枋山,120.661086,22.246844,屏東縣,枋山鄉中山路三段52號(加祿國小)
C0R710,龍磐,120.838942,21.931672,屏東縣,屏東縣恆春助航台(NDB歸航台)
C0R720,旭海,120.887614,22.205403,屏東縣,牡丹鄉旭海大草原步道旁
C0R730,大坪頂,120.69355,22.024633,屏東縣,屏東縣恆春鎮大坪頂電信機房旁
C0R740,獅子,120.70525,22.201569,屏東縣,屏東縣獅子鄉楓林村2巷26號
C0R750,四林格山,120.802439,22.076989,屏東縣,屏東縣牡丹鄉四林格山遊樂區第2涼亭旁大草原
C0R760,南仁湖,120.863353,22.084681,屏東縣,屏東縣滿州鄉南仁湖步道4K山頂觀測站旁
C0R770,保力,120.764111,22.071122,屏東縣,屏東縣車城鄉保力村竹社路5號
C0R780,滿州,120.839892,22.024403,屏東縣,屏東縣滿州鄉文化路32號
C0R790,九棚,120.889281,22.14195,屏東縣,屏東縣牡丹鄉九棚中科院基地
C0R800,丹路,120.750989,22.204481,屏東縣,屏東縣獅子鄉丹路一巷1號
C0R810,內獅,120.642986,22.305064,屏東縣,獅子鄉內獅村1號(內獅國小)
C0R820,白鷺,120.666219,22.454275,屏東縣,屏東縣來義鄉白鷺大橋沿白鷺道路5.5公里處
C0R830,高士,120.836781,22.121825,屏東縣,屏東縣牡丹鄉高士社區進水廠水塔頂
C0R840,牡丹池山,120.841225,22.168389,屏東縣,屏東縣牡丹鄉牡丹池山山頂
C0S660,下馬,121.070312,23.150427,臺東縣,海端鄉廢棄下馬派出所旁
C0S690,太麻里,120.98533,22.60902,臺東縣,太麻里鄉(往金針山茶區之半路上)
C0S700,知本,121.005642,22.684866,臺東縣,卑南鄉溫泉村(溫泉國小之樂山分校內)
C0S710,鹿野,121.122994,22.917711,臺東縣,鹿野鄉鹿野高台高眺亭公廁東側草地上
C0S730,綠島,121.47533,22.6672,臺東縣,綠島鄉
C0S740,池上,121.209469,23.119628,臺東縣,池上鄉新興村104號(退輔會臺東農場內)
C0S750,向陽,120.986133,23.248397,臺東縣,海端鄉向陽(公路局向陽工務段圍牆內)
C0S760,紅石,121.126219,23.069131,臺東縣,海端鄉紅石(紅石瞭望臺旁)
C0S770,大溪山,120.943325,22.478475,臺東縣,太麻里鄉多良村(廢棄中華電信轉播站旁)
C0S790,金崙,120.966875,22.538122,臺東縣,太麻里鄉金崙段0304-1地號
C0S810,東河,121.303986,22.972672,臺東縣,東河鄉北東河17鄰26號(東河國民小學操場旁)
C0S830,長濱,121.411975,23.286817,臺東縣,長濱鄉竹湖村移民橋後方山頂三角點旁
C0S840,南田,120.889208,22.279725,臺東縣,達仁鄉南田村南田風景區公園對面
C0S890,關山,121.175017,23.0395,臺東縣,關山鎮親水公園內
C0S900,蘭嶼高中,121.51214,22.04909,臺東縣,蘭嶼鄉椰油村37號（蘭嶼高中內）
C0S910,蘭嶼燈塔,121.503117,22.081197,臺東縣,蘭嶼鄉椰油段1-7地號（蘭嶼燈塔旁）
C0S920,金峰嘉蘭,120.960903,22.598758,臺東縣,金峰鄉嘉蘭村12鄰665號(金峰鄉嘉蘭村活動中心)
C0S930,延平,121.084058,22.902581,臺東縣,臺東縣延平鄉昇平路75號(延平消防分隊)
C0S940,石寧山,121.406639,23.223772,臺東縣,長濱鄉寧埔村石寧山附近山區
C0S950,七塊厝,121.229922,22.954453,臺東縣,東河鄉尚德村七塊厝產業道路附近山區
C0S960,香蘭,120.993375,22.587569,臺東縣,太麻里鄉香蘭村四鄰28號 (香蘭國小)
C0S970,加津林,120.926942,22.416211,臺東縣,大武鄉大竹村14鄰加津林4號(舊高溪派出所)
C0S980,勝林山,120.8938,22.430439,臺東縣,達仁鄉勝林山山頂停機坪旁(與大武鄉交界附近)
C0S990,山豬窟,120.857372,22.318619,臺東縣,大武鄉南興村山豬窟產業道路附近山區(梅園涼亭旁)
C0SA00,歷坵,120.89185,22.520969,臺東縣,金峰鄉歷坵產業道路附近山區
C0SA10,檳榔四格山,121.109308,22.810031,臺東縣,卑南鄉檳榔四格山山頂瞭望臺旁
C0SA20,金崙山,120.959667,22.567419,臺東縣,太麻里鄉富山產業道路附近山區(與金峰鄉交界附近)
C0SA30,都歷,121.323642,23.020333,臺東縣,成功鎮新村路25號(東部海岸國家風景區管理處)
C0SA40,瑞和,121.156697,22.974361,臺東縣,鹿野鄉瑞和村瑞景路3段1號(瑞源國中)
C0SA60,知本（水試所）,121.082761,22.702394,臺東縣,臺東縣臺東市知本路2段291巷299號
C0SA80,土坂,120.887488,22.452922,臺東縣,達仁鄉土坂村1鄰10號(土坂國民小學操場旁)
C0SA90,達仁林場,120.823972,22.264347,臺東縣,臺東縣達仁鄉臺東達五號農路4K處
C0T790,大禹嶺,121.316086,24.186117,花蓮縣,秀林鄉立霧溪事業區67林班地(救國團大禹山莊)
C0T820,天祥,121.495639,24.179597,花蓮縣,秀林鄉立霧溪事業區80林班地(天祥祥德寺)
C0T870,鯉魚潭,121.508944,23.935639,花蓮縣,壽豐鄉池南村池南路一段8號(鯉魚潭風景區旁)
C0T900,西林,121.441458,23.8119,花蓮縣,萬榮鄉西林路8鄰114號(西林國民小學運動場旁)
C0T960,光復,121.424964,23.660694,花蓮縣,光復鄉大進村糖廠街19號(台糖公司花蓮光復糖廠內)
C0T9A0,月眉山,121.539828,23.809928,花蓮縣,壽豐鄉月眉山旁的小山丘上(過米棧大橋往山上水璉方向至四號橋左轉之山上)
C0T9B0,水源,121.537169,23.991861,花蓮縣,秀林鄉原林務局水源段的苗圃內
C0T9D0,和中,121.74103,24.26676,花蓮縣,秀林鄉秀林村62號(和平國小和中分校校園內)
C0T9E0,大坑,121.581981,23.880628,花蓮縣,壽豐鄉10鄰山嶺80之1號(中華電信公司賀田山機房)旁
C0T9F0,水璉,121.542514,23.797131,花蓮縣,壽豐鄉水璉村
C0T9G0,鳳林山,121.420131,23.735269,花蓮縣,鳳林鎮
C0T9H0,加路蘭山,121.5274,23.682947,花蓮縣,豐濱鄉臨海段776-4號
C0T9I0,豐濱,121.514806,23.583897,花蓮縣,豐濱鄉豐濱村
C0T9M0,靜浦,121.495028,23.455167,花蓮縣,豐濱鄉靜浦村活動中心後山上
C0T9N0,富里,121.249378,23.171639,花蓮縣,富里鄉永安街52號(富里國小)
C0U520,雙連埤,121.641303,24.753033,宜蘭縣,員山鄉雙連埤地區(需徒步20分鐘)
C0U600,礁溪,121.765536,24.817544,宜蘭縣,礁溪鄉礁溪路四段23號(礁溪國民中學教室後宿舍旁)
C0U650,玉蘭,121.587061,24.675286,宜蘭縣,大同鄉松羅村鹿場路11號(往松羅山頂瞭望亭旁)
C0U710,太平山,121.525656,24.505486,宜蘭縣,大同鄉太平山93林班地(林務局路標22.3k處)
C0U720,南山,121.38167,24.43742,宜蘭縣,大同鄉南山村4鄰埤南巷31-3號(南山國民小學內)
C0U750,龜山島,121.953133,24.841667,宜蘭縣,頭城鎮龜山島山頂401高地觀景台
C0U760,東澳,121.83318,24.52196,宜蘭縣,南澳鄉東岳村蘇花路三段209號(東澳國小校園內)
C0U770,南澳,121.81022,24.44935,宜蘭縣,南澳鄉中央氣象局地震中心系統維護課之南澳地震站
C0U780,五結,121.79794,24.68637,宜蘭縣,五結鄉五結中路二段88號(五結國小)
C0U860,頭城,121.8308,24.85323,宜蘭縣,頭城鎮協天路468號(中華電信頭城海纜站內)
C0U870,大礁溪,121.67505,24.79104,宜蘭縣,礁溪鄉二結村一鄰9-1號(國立宜蘭大學實驗林場)
C0U890,三星,121.65302,24.66812,宜蘭縣,三星鄉月眉街54號(三星國中)
C0U900,內城,121.68766,24.71813,宜蘭縣,員山鄉內城路545號(內城國民中小學)
C0U910,冬山,121.7937,24.63373,宜蘭縣,冬山鄉冬山路98-5號(冬山消防分隊)
C0U940,羅東,121.74934,24.68184,宜蘭縣,羅東鎮羅東運動公園南側(北成路二段停車場旁自行車道入口)
C0U950,鶯子嶺,121.79244,24.89754,宜蘭縣,頭城鎮鶯子嶺通信站區內
C0U960,翠峰湖,121.608044,24.510856,宜蘭縣,大同鄉太平山翠峰湖停車場木棧道旁
C0U970,大福,121.81389,24.80064,宜蘭縣,壯圍鄉大福路一段62巷26號(大福國小)
C0U980,坪林石牌,121.77396,24.86478,宜蘭縣,頭城鎮與新北市坪林區交界附近之國有林班地(位於坪林石牌附近山區)
C0U990,員山,121.72247,24.74435,宜蘭縣,員山鄉員山村復興路39號(員山國小)
C0UA00,土場,121.495333,24.576533,宜蘭縣,大同鄉土場
C0UA10,鴛鴦湖,121.412228,24.590269,宜蘭縣,大同鄉100線林道約15K(太平山事業區32林班內，鴛鴦湖工作站旁空地)
C0UA20,多加屯,121.373189,24.368614,宜蘭縣,大同鄉南湖大山指標8.4K處(多加屯避難山屋附近)
C0UA30,白嶺,121.519031,24.527819,宜蘭縣,大同鄉太平山白嶺苗圃內
C0UA40,西德山,121.752608,24.560647,宜蘭縣,南澳鄉安平坑林道(力霸產業道路)附近山區(南澳事業區28林班內)
C0UA50,西帽山,121.802628,24.555361,宜蘭縣,南澳鄉台泥大白山運石道附近山區(羅東事業區96林班內)
C0UA60,樟樹山,121.78325,24.41393,宜蘭縣,南澳鄉武塔村樟樹山附近山區
C0UA70,桃源谷,121.888875,24.962606,宜蘭縣,頭城鎮及新北市貢寮區交界之桃源谷附近空地
C0UB00,淡江大學蘭陽校園,121.730383,24.823239,宜蘭縣,礁溪鄉林尾路180號（淡江大學蘭陽校園內）
C0V210,復興,120.806089,23.222403,高雄市,桃源區復興里復興巷1鄰15號
C0V250,甲仙,120.591758,23.080106,高雄市,甲仙區(甲仙國民中學操場後方小山丘上)
C0V260,月眉,120.539853,22.971003,高雄市,杉林區月眉里山仙路1號月眉農場
C0V310,美濃,120.519153,22.898742,高雄市,美濃區福安里中山路二段204巷65號(美濃區福安國小後方)
C0V350,溪埔,120.446797,22.738578,高雄市,大樹區溪埔里之台29線近83K處
C0V360,內門,120.466769,22.975481,高雄市,內門區木柵里木柵3號（木柵國民小學）
C0V370,古亭坑,120.401947,22.893178,高雄市,田寮區古亭里
C0V400,阿公店,120.355528,22.804194,高雄市,燕巢區西燕里工程路1號（阿公店水庫內）
C0V440,鳳山,120.356122,22.646653,高雄市,鳳山區文山路園藝巷4號（鳳山熱帶園藝試驗分所）
C0V450,鳳森,120.392592,22.545064,高雄市,小港區水庫段96-1地號（鳳山給水廠內）
C0V490,新興,120.298803,22.627422,高雄市,新興區大同一路231號(大同國小內5樓頂)
C0V500,旗津,120.285944,22.5886,高雄市,旗津區中洲二路207號(旗津國中校園內)
C0V530,阿蓮,120.327508,22.883208,高雄市,阿蓮區阿蓮里民生路94號(阿蓮區公所)
C0V610,梓官,120.267211,22.760558,高雄市,梓官區梓官路258號(梓官區公所)
C0V620,永安,120.236856,22.82315,高雄市,永安區永安路32號(永安消防分隊)
C0V630,茄萣,120.182608,22.906642,高雄市,茄萣區濱海路四段27號(茄萣區公所)
C0V640,湖內,120.2445,22.887139,高雄市,湖內區中山路一段290之1號(湖街派出所)
C0V650,彌陀,120.246361,22.783806,高雄市,彌陀區中正北路7號(彌陀消防分隊)
C0V660,岡山,120.294958,22.797078,高雄市,岡山區岡山路341號(岡山地政事務所)
C0V670,楠梓,120.286,22.71975,高雄市,楠梓區德民路1010號(國昌國民中學)
C0V680,仁武,120.347722,22.701083,高雄市,仁武區中正路133號(仁武區公所)
C0V690,鼓山,120.275575,22.623325,高雄市,鼓山區臨海一路61-1號(鼓山消防分隊)
C0V700,三民,120.311233,22.645017,高雄市,三民區十全一路88號(十全消防分隊)
C0V710,苓雅,120.330669,22.622742,高雄市,苓雅區三多一路162號(苓雅消防分隊)
C0V720,林園,120.394511,22.507747,高雄市,林園區林園北路179號(林園區公所)
C0V730,大寮,120.395717,22.605614,高雄市,大寮區鳳林三路492號(大寮區公所)
C0V740,旗山,120.483597,22.888614,高雄市,旗山區延平一路499號(旗山區公所)
C0V750,路竹,120.259439,22.854997,高雄市,路竹區國昌路76號(路竹區公所)
C0V760,橋頭,120.30575,22.757806,高雄市,橋頭區隆豐路1號(橋頭區公所)
C0V770,大社,120.346639,22.730306,高雄市,大社區自強街1號(大社區公所)
